,person,state,district,vote,name,party,session
153,412246,PA,,Yea,"Sen. Robert “Bob” Casey Jr. [D, 2007-2024]",Democrat,2
154,412247,RI,,Yea,"Sen. Sheldon Whitehouse [D, 2007-2024]",Democrat,2
155,412248,TN,,Not Voting,"Sen. Bob Corker [R, 2007-2018]",Republican,2
156,412251,WY,,Yea,"Sen. John Barrasso [R, 2007-2018]",Republican,2
157,412269,LA,,Yea,Sen. Bill Cassidy [R],Republican,2
158,412281,NM,,Yea,"Sen. Martin Heinrich [D, 2013-2024]",Democrat,2
159,412305,MI,,Yea,Sen. Gary Peters [D],Democrat,2
160,412321,VA,,Yea,Sen. Mark Warner [D],Democrat,2
161,412322,ID,,Yea,Sen. James Risch [R],Republican,2
162,412323,NH,,Yea,Sen. Jeanne Shaheen [D],Democrat,2
163,412325,OR,,Yea,Sen. Jeff Merkley [D],Democrat,2
164,412330,CO,,Yea,Sen. Michael Bennet [D],Democrat,2
165,412390,DE,,Yea,Sen. Chris Coons [D],Democrat,2
166,412391,WV,,Yea,"Sen. Joe Manchin III [D, 2010-2024]",Democrat,2
167,412406,CO,,Yea,Sen. Cory Gardner [R],Republican,2
168,412428,IN,,Yea,Sen. Todd Young [R],Republican,2
169,412464,OK,,Yea,Sen. James Lankford [R],Republican,2
170,412471,SC,,Yea,Sen. Tim Scott [R],Republican,2
171,412490,CT,,Yea,Sen. Richard Blumenthal [D],Democrat,2
172,412491,FL,,Yea,Sen. Marco Rubio [R],Republican,2
173,412492,KY,,Yea,Sen. Rand Paul [R],Republican,2
174,412494,ND,,Yea,Sen. John Hoeven [R],Republican,2
175,412495,UT,,Yea,Sen. Mike Lee [R],Republican,2
176,412496,WI,,Yea,Sen. Ron Johnson [R],Republican,2
177,412507,HI,,Yea,Sen. Brian Schatz [D],Democrat,2
178,412508,AR,,Yea,Sen. Tom Cotton [R],Republican,2
179,412533,IL,,Yea,Sen. Tammy Duckworth [D],Democrat,2
180,412542,MA,,Yea,"Sen. Elizabeth Warren [D, 2013-2024]",Democrat,2
181,412545,ME,,Yea,"Sen. Angus King [I, 2013-2024]",Independent,2
182,412549,MT,,Yea,Sen. Steve Daines [R],Republican,2
183,412554,ND,,Yea,"Sen. Heidi Heitkamp [D, 2013-2018]",Democrat,2
184,412556,NE,,Yea,"Sen. Deb Fischer [R, 2013-2024]",Republican,2
185,412573,TX,,Not Voting,"Sen. Ted Cruz [R, 2013-2024]",Republican,2
186,412582,VA,,Yea,"Sen. Timothy “Tim” Kaine [D, 2013-2024]",Democrat,2
187,412598,NJ,,Yea,Sen. Cory Booker [D],Democrat,2
188,412665,AK,,Yea,Sen. Dan Sullivan [R],Republican,2
189,412666,GA,,Not Voting,Sen. David Perdue [R],Republican,2
190,412667,IA,,Yea,Sen. Joni Ernst [R],Republican,2
191,412668,NC,,Yea,Sen. Thom Tillis [R],Republican,2
192,412669,SD,,Yea,Sen. Mike Rounds [R],Republican,2
193,412671,NE,,Yea,Sen. Benjamin Sasse [R],Republican,2
194,412678,CA,,Yea,Sen. Kamala Harris [D],Democrat,2
195,412679,LA,,Yea,Sen. John Kennedy [R],Republican,2
196,412680,NH,,Yea,Sen. Margaret “Maggie” Hassan [D],Democrat,2
197,412681,NV,,Yea,Sen. Catherine Cortez Masto [D],Democrat,2
198,412741,AL,,Yea,Sen. Doug Jones [D],Democrat,2
199,412742,MN,,Yea,"Sen. Tina Smith [D, 2018-2020]",Democrat,2
200,300002,TN,,Yea,Sen. Lamar Alexander [R],Republican,3
201,300018,WA,,Yea,"Sen. Maria Cantwell [D, 2001-2024]",Democrat,3
202,300019,DE,,Yea,"Sen. Thomas Carper [D, 2001-2024]",Democrat,3
203,300023,MS,,Yea,"Sen. Thad Cochran [R, 1979-2018]",Republican,3
204,300025,ME,,Yea,Sen. Susan Collins [R],Republican,3
205,300027,TX,,Yea,Sen. John Cornyn [R],Republican,3
206,300030,ID,,Yea,Sen. Michael Crapo [R],Republican,3
207,300038,IL,,Yea,Sen. Richard Durbin [D],Democrat,3
208,300041,WY,,Yea,Sen. Michael Enzi [R],Republican,3
209,300043,CA,,Yea,"Sen. Dianne Feinstein [D, 1992-2024]",Democrat,3
210,300047,SC,,Yea,Sen. Lindsey Graham [R],Republican,3
211,300048,IA,,Yea,Sen. Charles “Chuck” Grassley [R],Republican,3
212,300052,UT,,Yea,"Sen. Orrin Hatch [R, 1977-2018]",Republican,3
213,300055,OK,,Yea,Sen. James “Jim” Inhofe [R],Republican,3
214,300065,VT,,Yea,Sen. Patrick Leahy [D],Democrat,3
215,300071,AZ,,Not Voting,"Sen. John McCain [R, 1987-2018]",Republican,3
216,300072,KY,,Yea,Sen. Mitch McConnell [R],Republican,3
217,300075,AK,,Yea,Sen. Lisa Murkowski [R],Republican,3
218,300076,WA,,Yea,Sen. Patty Murray [D],Democrat,3
219,300078,FL,,Yea,"Sen. Bill Nelson [D, 2001-2018]",Democrat,3
220,300081,RI,,Yea,Sen. John “Jack” Reed [D],Democrat,3
221,300083,KS,,Yea,Sen. Pat Roberts [R],Republican,3
222,300087,NY,,Yea,Sen. Charles “Chuck” Schumer [D],Democrat,3
223,300089,AL,,Yea,Sen. Richard Shelby [R],Republican,3
224,300093,MI,,Yea,"Sen. Debbie Stabenow [D, 2001-2018]",Democrat,3
225,300100,OR,,Yea,Sen. Ron Wyden [D],Democrat,3
226,400013,WI,,Yea,"Sen. Tammy Baldwin [D, 2013-2024]",Democrat,3
227,400034,MO,,Yea,Sen. Roy Blunt [R],Republican,3
228,400040,AR,,Yea,Sen. John Boozman [R],Republican,3
229,400050,OH,,Yea,"Sen. Sherrod Brown [D, 2007-2024]",Democrat,3
230,400054,NC,,Yea,Sen. Richard Burr [R],Republican,3
231,400061,WV,,Yea,Sen. Shelley Capito [R],Republican,3
232,400064,MD,,Yea,"Sen. Benjamin Cardin [D, 2007-2024]",Democrat,3
233,400134,AZ,,Yea,"Sen. Jeff Flake [R, 2013-2018]",Republican,3
234,400194,GA,,Not Voting,Sen. John “Johnny” Isakson [R],Republican,3
235,400253,MA,,Yea,Sen. Edward “Ed” Markey [D],Democrat,3
236,400272,NJ,,Yea,"Sen. Robert “Bob” Menendez [D, 2006-2024]",Democrat,3
237,400284,KS,,Yea,Sen. Jerry Moran [R],Republican,3
238,400325,OH,,Yea,Sen. Robert “Rob” Portman [R],Republican,3
239,400357,VT,,Yea,"Sen. Bernard “Bernie” Sanders [I, 2007-2024]",Independent,3
240,400408,PA,,Yea,Sen. Patrick “Pat” Toomey [R],Republican,3
241,400413,NM,,Yea,Sen. Tom Udall [D],Democrat,3
242,400415,MD,,Yea,Sen. Chris Van Hollen Jr. [D],Democrat,3
243,400432,MS,,Yea,"Sen. Roger Wicker [R, 2007-2024]",Republican,3
244,400546,SD,,Yea,Sen. John Thune [R],Republican,3
245,412194,CT,,Yea,"Sen. Christopher Murphy [D, 2013-2024]",Democrat,3
246,412200,HI,,Yea,"Sen. Mazie Hirono [D, 2013-2024]",Democrat,3
247,412205,IN,,Yea,"Sen. Joe Donnelly [D, 2013-2018]",Democrat,3
248,412218,NV,,Yea,"Sen. Dean Heller [R, 2011-2018]",Republican,3
249,412223,NY,,Yea,"Sen. Kirsten Gillibrand [D, 2009-2024]",Democrat,3
250,412242,MN,,Yea,"Sen. Amy Klobuchar [D, 2007-2018]",Democrat,3
251,412243,MO,,Yea,"Sen. Claire McCaskill [D, 2007-2018]",Democrat,3
252,412244,MT,,Yea,"Sen. Jon Tester [D, 2007-2024]",Democrat,3
253,412246,PA,,Yea,"Sen. Robert “Bob” Casey Jr. [D, 2007-2024]",Democrat,3
254,412247,RI,,Yea,"Sen. Sheldon Whitehouse [D, 2007-2024]",Democrat,3
255,412248,TN,,Yea,"Sen. Bob Corker [R, 2007-2018]",Republican,3
256,412251,WY,,Yea,"Sen. John Barrasso [R, 2007-2018]",Republican,3
257,412269,LA,,Yea,Sen. Bill Cassidy [R],Republican,3
258,412281,NM,,Yea,"Sen. Martin Heinrich [D, 2013-2024]",Democrat,3
259,412305,MI,,Yea,Sen. Gary Peters [D],Democrat,3
260,412321,VA,,Yea,Sen. Mark Warner [D],Democrat,3
261,412322,ID,,Yea,Sen. James Risch [R],Republican,3
262,412323,NH,,Yea,Sen. Jeanne Shaheen [D],Democrat,3
263,412325,OR,,Yea,Sen. Jeff Merkley [D],Democrat,3
264,412330,CO,,Yea,Sen. Michael Bennet [D],Democrat,3
265,412390,DE,,Yea,Sen. Chris Coons [D],Democrat,3
266,412391,WV,,Yea,"Sen. Joe Manchin III [D, 2010-2024]",Democrat,3
267,412406,CO,,Yea,Sen. Cory Gardner [R],Republican,3
268,412428,IN,,Yea,Sen. Todd Young [R],Republican,3
